Algorithm-1, Algorithm-2, Algorithm-3, Algorithm-4, T1(n), T2(n), T3(n), T4(n)
1015, 615, 1085, 195, 2601, 740, 1521, 135
2185, 1250, 1620, 300, 7462, 1595, 3271, 200
4070, 2370, 2390, 470, 16198, 2775, 5671, 265
6790, 3375, 2885, 475, 29934, 4280, 8721, 330
10140, 4730, 3565, 600, 49794, 6110, 12421, 395
14820, 6340, 4190, 725, 76905, 8265, 16771, 460
20240, 8100, 4950, 775, 112391, 10745, 21771, 525
27195, 11505, 5810, 865, 157377, 13550, 27421, 590
35975, 12505, 6420, 1025, 212988, 16680, 33721, 655
46360, 17325, 7755, 1215, 280349, 20135, 40671, 720
60570, 17915, 9125, 1200, 360584, 23915, 48271, 785
76310, 22585, 9505, 1365, 454820, 28020, 56521, 850
85530, 24595, 9440, 1665, 564181, 32450, 65421, 915
101990, 28180, 10545, 1480, 689792, 37205, 74971, 980
119555, 30395, 10335, 1495, 832778, 42285, 85171, 1045
150925, 34615, 11240, 1625, 994264, 47690, 96021, 1110
168425, 38850, 12285, 1610, 1175374, 53420, 107521, 1175
199730, 42390, 12535, 1755, 1377235, 59475, 119671, 1240
228150, 46915, 13490, 1850, 1600971, 65855, 132471, 1305
